                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2558,                 3.7154,                 3.8283,                0.10474,                0.07039,                0.03278,                0.01073,                 2.6366,                 3.2826,                 3.1786,              0.0033245,              0.0033245,              0.0033245
                      2,                 2.2539,                 2.7708,                 2.6262,                0.30063,                0.27248,                0.20731,                0.08799,                 2.0345,                 2.5442,                 2.3963,              0.0066359,              0.0066359,              0.0066359
                      3,                 1.8658,                 2.2613,                 2.1452,                0.42621,                0.30603,                 0.3074,                0.15149,                 1.8183,                 2.1265,                 2.1382,              0.0099252,              0.0099252,              0.0099252
                      4,                 1.6676,                 1.9486,                 1.9111,                0.56558,                0.40373,                0.43623,                0.23747,                 1.6035,                 1.7749,                 1.8539,               0.009901,               0.009901,               0.009901
                      5,                 1.5591,                 1.7674,                 1.7918,                0.58651,                0.43234,                0.48254,                0.27821,                 1.5174,                 1.6476,                 1.7564,               0.009868,               0.009868,               0.009868
                      6,                 1.4954,                 1.6587,                 1.7255,                0.63274,                0.45014,                0.50892,                0.30256,                 1.4724,                 1.5275,                 1.7021,               0.009835,               0.009835,               0.009835
                      7,                 1.4532,                 1.5889,                 1.6825,                0.65545,                 0.4586,                0.52857,                0.31676,                  1.436,                 1.4728,                 1.6757,               0.009802,               0.009802,               0.009802
                      8,                 1.4205,                 1.5354,                  1.646,                0.66419,                  0.496,                0.56226,                  0.341,                 1.3888,                 1.4111,                 1.6134,               0.009769,               0.009769,               0.009769
                      9,                 1.3927,                 1.4867,                 1.6152,                0.66956,                0.50599,                0.57347,                0.35468,                  1.366,                 1.3593,                 1.5929,               0.009736,               0.009736,               0.009736
                     10,                 1.3744,                 1.4591,                 1.5946,                0.68147,                0.49079,                0.57136,                0.35592,                 1.3683,                 1.3554,                 1.5911,               0.009703,               0.009703,               0.009703
                     11,                 1.3551,                 1.4286,                 1.5749,                 0.7019,                0.51403,                 0.5923,                0.37014,                  1.325,                 1.3077,                 1.5528,                0.00967,                0.00967,                0.00967
