                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0839,                 3.5018,                 3.6375,                0.20651,                0.16421,                0.10209,                0.03746,                 2.3747,                 2.6689,                 2.8903,              0.0033286,              0.0033286,              0.0033286
                      2,                 2.0268,                 2.4225,                 2.3678,                0.43179,                0.31222,                0.29543,                0.13619,                 1.9424,                 2.1376,                  2.247,              0.0066399,              0.0066399,              0.0066399
                      3,                 1.7073,                 1.9914,                 1.9787,                0.52257,                  0.404,                 0.4224,                0.22557,                 1.6402,                 1.9092,                 1.9008,              0.0099293,              0.0099293,              0.0099293
                      4,                 1.5428,                 1.7365,                 1.7996,                0.63651,                 0.4675,                0.53186,                0.30997,                 1.4618,                 1.4961,                 1.7125,               0.009901,               0.009901,               0.009901
                      5,                 1.4375,                 1.5599,                 1.6962,                0.65859,                 0.4973,                 0.5656,                 0.3412,                 1.3966,                 1.3756,                 1.6569,               0.009868,               0.009868,               0.009868
                      6,                 1.3803,                 1.4623,                 1.6383,                0.68135,                0.53004,                0.60344,                0.37569,                 1.3114,                 1.2686,                 1.5671,               0.009835,               0.009835,               0.009835
                      7,                 1.3359,                 1.3928,                 1.5942,                0.71188,                0.53667,                 0.6185,                0.39625,                 1.2511,                 1.1936,                 1.5157,               0.009802,               0.009802,               0.009802
                      8,                 1.3066,                 1.3473,                 1.5665,                0.73594,                0.55646,                0.64712,                0.41678,                  1.226,                 1.1518,                  1.487,               0.009769,               0.009769,               0.009769
                      9,                 1.2787,                  1.307,                 1.5397,                0.75036,                0.57284,                0.66438,                0.43309,                 1.1967,                 1.1044,                 1.4549,               0.009736,               0.009736,               0.009736
                     10,                 1.2635,                 1.2751,                 1.5237,                0.74562,                0.59083,                0.67698,                  0.446,                 1.1677,                 1.0494,                 1.4273,               0.009703,               0.009703,               0.009703
                     11,                 1.2439,                 1.2511,                 1.5031,                0.76886,                0.59385,                0.69052,                0.45817,                 1.1515,                 1.0429,                 1.4054,                0.00967,                0.00967,                0.00967
                     12,                 1.2359,                   1.23,                 1.4897,                0.76344,                 0.6099,                0.70053,                0.47073,                 1.1267,                 1.0038,                 1.3869,               0.009637,               0.009637,               0.009637
                     13,                 1.2216,                 1.2099,                 1.4794,                0.77042,                0.61437,                 0.7081,                0.47905,                 1.1147,                0.97349,                  1.376,               0.009604,               0.009604,               0.009604
                     14,                 1.2134,                 1.1942,                 1.4684,                0.77371,                0.62034,                 0.7149,                 0.4851,                 1.1001,                  0.964,                 1.3656,               0.009571,               0.009571,               0.009571
                     15,                 1.2031,                 1.1786,                 1.4574,                0.76836,                0.63268,                0.71938,                   0.49,                 1.0928,                0.93998,                 1.3495,               0.009538,               0.009538,               0.009538
                     16,                  1.196,                 1.1711,                 1.4496,                0.77508,                0.63619,                0.72543,                0.49661,                 1.0806,                0.93277,                 1.3367,               0.009505,               0.009505,               0.009505
                     17,                 1.1877,                 1.1581,                 1.4384,                0.78464,                 0.6407,                0.73156,                0.50065,                 1.0769,                0.92381,                 1.3322,               0.009472,               0.009472,               0.009472
                     18,                 1.1795,                 1.1427,                 1.4291,                0.79277,                0.63704,                0.73344,                0.50436,                 1.0691,                0.90302,                 1.3251,               0.009439,               0.009439,               0.009439
                     19,                 1.1748,                 1.1386,                 1.4219,                0.79437,                0.64254,                0.73774,                0.50801,                 1.0622,                0.89393,                 1.3168,               0.009406,               0.009406,               0.009406
                     20,                 1.1671,                  1.123,                 1.4134,                0.78733,                0.64741,                0.73951,                0.51098,                 1.0564,                0.88655,                 1.3111,               0.009373,               0.009373,               0.009373
                     21,                  1.162,                 1.1186,                  1.407,                0.78521,                0.65344,                0.74115,                0.51344,                 1.0512,                0.87793,                 1.3054,                0.00934,                0.00934,                0.00934
                     22,                 1.1598,                 1.1115,                 1.4002,                0.79178,                0.65151,                0.74321,                0.51648,                 1.0481,                0.87417,                 1.2999,               0.009307,               0.009307,               0.009307
                     23,                 1.1559,                 1.1058,                 1.3953,                0.78993,                0.65496,                0.74446,                0.51745,                 1.0461,                0.86873,                 1.2959,               0.009274,               0.009274,               0.009274
                     24,                  1.151,                  1.096,                 1.3881,                0.79143,                0.65577,                0.74617,                 0.5195,                 1.0427,                0.86472,                 1.2919,               0.009241,               0.009241,               0.009241
                     25,                 1.1454,                 1.0905,                 1.3818,                0.79005,                0.66112,                0.74751,                0.52047,                  1.041,                  0.861,                 1.2895,               0.009208,               0.009208,               0.009208
                     26,                 1.1437,                 1.0871,                 1.3811,                0.79333,                0.65834,                0.74808,                 0.5213,                 1.0397,                0.85757,                 1.2877,               0.009175,               0.009175,               0.009175
                     27,                 1.1412,                 1.0783,                 1.3759,                0.79561,                0.65926,                0.74911,                0.52244,                  1.038,                0.85488,                 1.2852,               0.009142,               0.009142,               0.009142
                     28,                 1.1372,                 1.0774,                 1.3684,                0.79495,                0.65981,                0.75037,                 0.5238,                 1.0365,                0.85154,                 1.2828,               0.009109,               0.009109,               0.009109
                     29,                  1.132,                 1.0677,                 1.3642,                0.79045,                0.66546,                0.75135,                0.52481,                 1.0359,                0.84993,                 1.2813,               0.009076,               0.009076,               0.009076
                     30,                 1.1337,                 1.0677,                 1.3622,                0.78966,                0.66729,                0.75198,                 0.5261,                 1.0349,                0.84696,                  1.279,               0.009043,               0.009043,               0.009043
                     31,                 1.1289,                 1.0636,                 1.3564,                0.79026,                0.66636,                0.75301,                0.52677,                 1.0331,                0.84579,                 1.2771,                0.00901,                0.00901,                0.00901
                     32,                 1.1258,                 1.0591,                 1.3525,                 0.7933,                 0.6666,                0.75384,                0.52776,                 1.0305,                0.84451,                 1.2745,               0.008977,               0.008977,               0.008977
                     33,                 1.1241,                 1.0544,                  1.347,                0.79488,                0.66711,                0.75429,                0.52888,                 1.0287,                0.84245,                 1.2719,               0.008944,               0.008944,               0.008944
                     34,                 1.1205,                 1.0485,                 1.3441,                0.79641,                0.66648,                0.75464,                0.53005,                 1.0269,                0.84043,                 1.2694,               0.008911,               0.008911,               0.008911
                     35,                 1.1191,                 1.0473,                 1.3418,                0.79762,                0.66673,                0.75594,                0.53102,                 1.0258,                0.83899,                 1.2673,               0.008878,               0.008878,               0.008878
                     36,                 1.1167,                  1.042,                  1.338,                0.80269,                0.66472,                0.75613,                0.53185,                  1.025,                0.83825,                 1.2658,               0.008845,               0.008845,               0.008845
                     37,                 1.1132,                 1.0364,                 1.3358,                0.80798,                0.66255,                0.75667,                0.53274,                 1.0239,                0.83769,                 1.2637,               0.008812,               0.008812,               0.008812
